,Cs,CHs,CH3s,C2Hs,C3H5s,file_name
0,0.009473747314636682,0.0004278705703448793,0.0069481388456296145,0.05516838174014538,0.08650074784852535,0522213.cas
1,0.0006047257133392492,0.0006606400675668311,-1.0,0.0007089637143984362,0.08630455946254756,CHB04NA.cas
2,0.0005598712954189011,0.0006259643016086613,0.0008143013925892006,0.022952393255735615,0.07900480769581009,CHB15PC.cas
3,0.0011052994916909142,0.0002452805623232024,0.0007794273886521097,0.023228126956404083,0.07875597296955306,CHC36PC.cas
4,-1.0,-1.0,0.00041855897834075506,0.023498468061387,0.07829446259791695,CHC40PC.cas
5,0.0001758299923206863,0.00014211017919052438,0.0003720763991150733,0.0004800181796760228,0.07828104275235148,CHA110PA.cas
6,0.0010440429685019126,0.0011143919562748295,0.0011352378017193132,0.023296391705869723,0.07825965479090513,CHB14PC.cas
7,9.23678312148013e-06,3.2335929720517242e-06,0.00015118130050773004,0.0004104751084099689,0.07817202308998361,CHB111PA.cas
8,0.0003885099803966341,0.00040861830779803654,0.00025338279148101606,0.0008361873496731675,0.07784924236607083,CHB86PB.cas
9,0.0007892592790970099,-1.0,-1.0,-1.0,0.07723374082523549,CHB33PC.cas
10,0.0016944836419430231,0.0013172225122044523,0.0002571204170624952,0.0025322508512957143,0.07693047114608476,BRULIN01.cas
11,0.00040443839417214633,0.0007359015911507782,0.0011190836511723035,0.001415603707091151,0.07677632401963308,FC170_01.cas
12,0.0012585658702306546,0.0012705219963020653,2.3400317159527617e-05,0.0234823471744825,0.07666019092891219,CHC38PC.cas
13,0.00025266422596281757,0.00031846703787330455,0.0010074151492229788,0.0001025377896759494,0.07616437142984012,FC129_01.cas
14,0.0024897331265005818,0.0013856618687579925,0.0010417095036601154,0.02281267779035545,0.07401049100024437,CHB70PA.cas
15,0.0013680477205859631,0.001534753936022426,0.0009164459167134709,0.020276265880525557,0.07187373946276665,CHB111PE.cas
16,0.0012129123269790654,0.0012074376342798843,-1.0,-1.0,0.07009234059707126,CHB99PC.cas
17,0.0007666612239400905,0.0006733577976181238,0.0003797821336775087,0.02234074468501035,0.06892493316198056,CHB63PA.cas
18,0.022682962547103003,0.07539013578045939,0.022419984241388136,0.015014003167500789,0.06764613480142856,090293~2.cas
19,0.004844169469956583,0.006750753963967071,0.0028646582070397386,0.0072045786642185305,0.06296986384948866,0312206.cas
20,0.0017684564641999856,0.002013896976182039,0.008062409984448848,0.011776859132044848,0.06152563947539136,DOW33NEG.cas
21,0.017473136294473335,0.01037919740551807,0.020305966217581073,0.012421407661015849,0.05881337366247408,090293~3.cas
22,0.0007980810132774963,0.0008401751136837277,0.0011984921529144543,0.0011873404155835487,0.05877046089667459,XTHERMN1.cas
23,0.001194772965975588,0.0011673908849036962,0.014952643880295824,0.00036934691123136076,0.058526016017871996,CHB91NC.cas
24,0.004856134735497619,0.003747648632270284,0.0054791625611265715,0.010868041082741087,0.057955751071425254,1121106.cas
25,0.0004573536133296585,0.0024332872917529613,0.007512527295217453,0.002607830715966486,0.057835792909791905,0426418.cas
26,0.0006112764290442385,0.0007689695373098715,0.005067083896278746,0.0006039446881231925,0.05745161889639405,SIRUBNEG.cas
27,0.0007370004221165516,0.0006018059898078576,0.0006509687630149585,-1.0,0.057356445993860916,PDMS04.cas
28,0.0059432054522616795,0.004357299235373091,0.01818231102108392,0.012860513233952986,0.05641178663710633,030695~4.cas
29,0.00017160537642979534,0.00030039834519612896,2.241167459260396e-05,0.000753275161926581,0.056000616588740115,CHB133NF.cas
30,0.001031111003616303,0.0009381914987063311,-1.0,0.0017187844473340874,0.05592212543029973,CHB100NB.cas
31,0.00017165670635677088,0.0003212064704136708,0.0006456638603555831,-1.0,0.055877800001582045,PDMS01.cas
32,0.0006703098017748488,0.0007316615857195785,0.013891774553531633,0.0012001262142646851,0.05578266950173827,CHB89NC.cas
33,0.0003902248517935192,0.0004421560534701996,0.0001953724353800368,0.0006908761604371705,0.05572268246559986,CHB133NA.cas
34,0.007126693466899425,0.0020433579274570235,-1.0,0.013666788996697932,0.05554589102219154,0819101.cas
35,0.0002781807406861958,0.0003847548625959263,0.00013258262879389804,0.0009683579939689935,0.055458072388162805,CHB79NC.cas
36,0.0003179540531998981,0.0005368649042640783,0.00030907630715582,0.0010796528399659167,0.05525144856637354,PDMS02.cas
37,0.000628171196270344,0.0006111778006978597,0.0003234291889366858,0.0009399402657450651,0.05505652393509308,CHB49NE.cas
38,0.0008753463959259022,0.000922111412888782,0.014196550108923844,0.00047010096425736947,0.05501482285738035,CHB74NB.cas
39,0.0005168036534595188,0.000618034038833315,0.00032645796135355454,0.0008930745467523593,0.05495062453253752,CHB57NA.cas
40,0.0002473754601588496,0.00035152316903896974,0.0008205545596471353,0.00048464051826613286,0.05455134301083575,CHB79NF.cas
41,0.008826452710282595,0.0028489176874426647,0.026072923337641996,0.017447081793118713,0.05400295206202799,0526402.cas
42,0.0004525318939077039,0.00419860040729958,0.008071145522121626,0.0015386421244869553,0.05372251814231532,0119302.cas
43,0.0001452049175743042,0.00024088440494374197,0.00045200757747743125,1.7085748101663967e-05,0.05289775336565583,CHB106ND.cas
44,0.004927853453626341,0.005839428065440799,0.008853971689752882,0.007006766335091896,0.051055057737734444,10019603.cas
45,0.0036290943910639584,0.004138797062688937,0.019902915117743447,0.013764082067662997,0.05084919415271827,031795~1.cas
46,0.0009419536259365202,0.0006996869677617923,0.014469175698954118,0.0030965961015247956,0.050741573938786644,CHB73NF.cas
