,num_below,peaks_below,file_name
43,0,[],0425404.cas
44,4,[18.57627987 21.61944713 15.66613628 13.7076307 ],0426418.cas
45,14,"[567.50486243 577.50520257 564.50575099 566.50660537 569.50673847
 550.50765912 519.51011705 549.51591765  13.5248402  547.5235974
 568.53045997 846.72720524 847.77239659 848.78727168]",050595~1.cas
46,167,"[261.54548244 250.57290495 564.50017105 599.50056944 573.50159615
 588.5023398  551.50306066 555.50346824 577.50352235 534.50424076
 554.50469367 550.50505219 574.50540556 565.50587566 549.5060296
 544.51035157 581.51238116 566.5125111  587.51304003 590.51304175
 589.51352964 615.51389314 570.51453573 592.51462989 602.5159424
 595.51600959 579.51638213 578.51657097 553.51671065 601.518158
 583.51816221 604.51817457 608.51947152 580.52076395 591.52160587
 617.52235325 609.52281178 606.52301856 616.52461488 594.52471557
 600.52495704 620.5255569  593.52596888 567.52627616 650.5268497
 568.52686731 546.5304353  605.53134957 643.53415801 237.58393707
 603.53492549 623.5361138  569.53665921 607.53769569 634.539297
 582.54014173 610.54125323 656.54287975 648.54368482 632.54402638
 618.5452308  633.54609783 631.54801835 630.55139714 635.5533472
 622.5546159  548.55481248 658.55491398 642.5554425  263.55562694
 619.55566501 621.55932205 182.50965982 660.56092205 674.56183378
 758.56237354 264.56359845 649.56386176 265.56442741 676.56542584
 712.56701385 644.56797023 596.56866249 657.56953299  46.5233116
 645.5752693  683.57563713 647.57925478 664.58380671 665.58485197
 693.58886022 701.59047785 690.59305441 715.59539256 689.59591066
 691.59676229  74.52097027 670.59972129 700.60093844 659.60234485
 718.60424555 713.60541587 687.60580096 661.60807186 663.60860026
 706.61529225  57.55072796 730.61785881 704.62072423 688.62075072
 732.6224114  702.62321264 703.63112374 733.63905065 716.63981116
 734.64278548  77.56201395 729.64527619 196.6131799  209.63397972
 830.64835032 788.64949124 797.65341428 731.65724593 748.65927187
 746.66182897 757.66248333  66.59374222 195.63279418 789.6709242
 774.67267365 760.679242   786.68175131 815.68686022 771.6880797
 787.68969231 800.69557831 825.69679329 246.7672047  181.64676242
 818.70059651 799.70087179 798.70740862 826.7103674  816.7107192
 843.71075235 817.71279387 841.71370472 828.71550682 801.72113252
 802.72140364 842.72272302 795.72446722 168.65926969 844.72867097
 803.72970316 827.73418816 847.73474882 846.73777921 804.74388472
 859.74682592 845.74887492 856.74921772  39.72340574  41.72672411
 248.78818172 860.79209941]",050595~2.cas
47,12,"[ 44.53333216  66.51169581  52.53478061  27.57502743  77.53148073
  69.54011699 128.5393289   48.63640106  39.67386959  59.67999793
  57.69060994  41.7576442 ]",050595~3.cas
48,125,"[407.50149697 417.50202744 552.50808336 405.5084616  419.51805573
 408.52158339 420.52229238 431.52595809 425.5280791  433.53223835
 439.53830829 421.54139891 480.5432564  410.55290907 422.55463438
 445.55687846 434.55778643 423.55834855 436.56836004 453.57164157
 435.57213947 448.57297802 424.57376204 437.58343126 447.5856327
 471.58576172 459.59012734 461.59505923 470.59613991 450.5999831
 449.60436903 463.61951247 475.62577652 451.62687671 464.63203123
 481.63566802 465.65628198 489.65744138 501.65883668 511.66349365
 490.66482223 523.67231232 476.67375595 515.67528424 478.6756044
 477.6788133  479.6812794  491.68833858 503.69197961 531.70144706
 517.7043745  596.70461622 546.70734336 492.71263142 509.71304092
 520.71411427 493.71624331 505.71785199 494.71851342 569.72068166
 518.72209187 533.72395243 519.72534274 572.72649921 508.7274355
 506.72768137 507.72951846 534.73175108 576.73376505 557.73698954
 571.73715759 545.73768261 567.73850681 536.74041002 575.7414033
 537.74233584 549.74371326 574.7439212  547.74475474 573.74832522
 550.75111916 548.75118289 559.75153799 535.75392179 577.75400746
 560.7557764  578.75694887 521.75859452 551.75932679 562.76095753
 599.76530659 579.76579192 564.76768598 583.76834851 561.76882187
 522.76948388 563.77865735 565.77976845 585.77983146 580.78571374
 603.78701698 592.78736174 602.78915855 587.78990629 604.79193225
 601.79463414 588.79648781 605.8003382  608.80290986 593.80337299
 566.80385122 606.80736648 612.81703341 589.81784432 613.81844009
 607.81864167 619.81868535 591.82155311 590.82598964 633.83083151
 611.83429688 615.83684164 617.84881567 609.85036228 639.87542162]",050595~4.cas
49,3,[339.55044023 423.65918287 425.6776216 ],050595~5.cas
50,113,"[299.50143212 279.50658872 277.51136605 303.5143164  265.51942007
 315.52208634 281.52515468 283.53968034 284.54153289 282.5456856
 296.54649074 297.55285746 329.55719232 317.56242774 291.56588281
 295.57331911 331.57518057 313.57814929 343.5852619  309.58555586
 307.58578925 305.59002572 310.59043913 294.59325734 293.59395258
 311.59973732 358.6031914  327.60391113 312.60704015 357.61889898
 325.62811338 346.62922519 319.63017048 386.63267009 372.63872181
 401.64013515 324.64045409 323.64085901 337.65075783 333.65325944
 338.65640138 321.66028831 355.66074243 335.66177316 322.66201973
 371.66264083 341.66437999 339.66842351 340.6743092  426.67581184
 353.6829704  385.6944642  118.59900481 352.69610501 347.70131263
 363.70449047 399.70474208 351.7079531  364.70996312 365.7134793
 369.71439931 366.71925732 349.72195249 367.73112845 120.63778225
 350.73471051 368.7349535  413.74123075 383.7429229  381.74302113
 384.74414748 414.74921099 397.75077602 379.75151208 391.7625543
 415.76286238 389.77250227 375.7769996  378.78030288 377.78204572
 393.78431175 427.78668404 395.79460993 394.79785501 411.80055574
 396.80094252 412.81055372 409.81828858 410.82008619 403.82049248
 407.82592475 419.82653631 431.8359973  441.83958483 421.84440397
 425.84690842 455.84715348 408.84758622 405.84837741 439.85256224
 422.8576129  424.85794954 423.85855793 406.85952333 436.87353019
 440.87545547 437.88099547 453.88126335 435.88936579 438.88941306
 433.89132442 459.89519864 485.89677622]",050895~1.cas
51,147,"[629.50340119 649.50677348 626.51115126 599.51133183 627.51347194
 605.51460302 656.51486206 628.51500952 743.51600819 711.51636579
 684.51926659 820.52102068 777.52183009 689.52347259 655.52465425
 702.5253279  640.52677295 685.52951837 648.53154757 662.53299131
 659.53742232 657.54193709 643.54233486 592.54280531 769.54361147
 726.5545231   41.51443857 703.55761541 753.56318674 633.56387341
 742.56443378 709.56462014 728.56485722 672.56668315  39.53172837
 803.57105887 671.57313767 767.57485862 737.57625237 795.57740494
 691.58040536 661.58206505 705.5851592  675.59171793 717.59451173
 713.59715461 687.60039879 739.60169272  92.5120964   42.57081346
 740.61229491 745.61806423 763.62009396 747.62274718  81.5371775
 749.62401604 793.6251563  727.62775926  94.53366504  27.61021853
 735.63627086 673.64105294  29.6157878  853.64783158 718.65034343
 699.65209667 704.65483888 778.66028432 771.66255469 804.66774018
 838.6713836  841.67312126 894.67343415  40.63560726 761.67381757
 759.68089177 899.68358435  80.60196358 800.68721685 715.6880462
 789.69117182 805.69393895 736.70583555  77.62972215 867.71319059
  67.63853997 775.72264488 773.72519295 783.7268891  882.72694906
 790.7279976  788.7281514  799.73186482 813.73338316 755.73458865
 787.73549195 923.74137776 896.74325756  43.69954157 949.74428301
 833.74435803 857.74569622 757.74794585 922.75221433 868.75391985
 912.75416863 872.75462464 893.75662534 815.75785117 881.75883417
 937.76149306 832.76412266 817.76420255 909.76524937 873.76920099
 895.77279159 924.77477157 816.77561923 843.78073691 785.78087883
 829.78633336 920.78867438 830.78970966 831.79027027 821.79130098
 889.79276655 951.79522883 959.81250491 921.81357913 977.8160604
 885.81937096 897.82037191 911.82248935 901.82379932 938.82738356
 859.82799211 900.82922138 869.83321367 980.83915796 913.85180926
 907.85314565 950.85356334 888.85568508 952.85710482 871.87371531
 979.87417081 978.87492894]",050895~2.cas
52,42,"[ 42.63478075  41.6642895   43.69138675 240.83832875 238.84850698
 257.92924665 242.89323647 258.94299499 256.94232029 230.88420452
 260.95749346 231.89189156 261.96912002 259.96287621 250.93853943
 330.86153928 246.93236087 265.86209812 228.86444774 262.98694359
 252.86997602 241.93081885 341.87303047 233.92190695 338.88319679
 236.93207581 202.85757566 376.88553487 372.88685051 232.92705393
 352.8887317  342.88967071 324.88999097 229.89032605 276.89070047
 216.89137862 304.89158731 204.86827866 254.8956944  178.8423773
 234.94182325 384.89850326]",050895~3.cas
53,46,"[ 26.53752202 306.66505046 258.78665693 290.72205272 256.82046492
  38.70537186 362.74821115 264.74959389 262.87547074 242.82358974
 288.76882829 202.74874427 195.74628509 205.75674638 215.78638888
 204.77495011 228.80649896 226.83510682 230.85461197 251.90659994
 189.78339199 191.78936835 232.86810201 318.83533789 218.84169868
 239.89890065 206.82245157 199.81763001 254.85172908 216.85173986
 272.85355842 266.85561627 173.79925412 238.91482964 237.91318317
 197.83069047 225.89406838 259.97682722 193.83940878 289.88198782
 233.92804898 170.82790911 146.81089886 172.83444855 224.89765304
 148.81588489]",050895~4.cas
54,0,[],050895~5.cas
55,7,"[326.60767203 342.68715428  39.6541318   93.59954136  41.72516133
  67.70750805 298.79341112]",051095~1.cas
56,0,[],051095~2.cas
57,0,[],0520202.cas
58,46,"[371.50169821 221.5254095  337.50797323 437.5096377  330.522271
 499.5428412  289.54683411 329.55589844 480.56428971 331.56461154
 326.56544158 325.56729449 280.58022749 165.51203656 149.5046544
 252.59098013 154.51889175 328.61090367  47.56879015 199.59694783
 197.59914078 105.54373586 117.54228393 468.64421232 220.64822123
 133.55985582 317.66873819 232.71264796 126.57940822 131.58155187
 130.58406673 156.6286572  241.76610106 129.61580392 291.71808287
 215.74230155 128.65174719 112.72321754 174.76688338 114.73879741
 115.73908806 118.74203117 132.75098626 141.79219827 257.98443372
 129.80234056]",052096~1.cas
59,25,"[258.5001822   13.51625485 309.51721329 306.5187522  298.521084
 346.53626803 199.50598116 289.55396096 292.57142422  35.54901054
 353.61707225  25.60179897 361.64111917  66.57762486  37.65627899
  35.66612237  36.71951929  34.73394948  35.76337257  36.76410037
  34.78015693  41.77169089  25.82736743  24.83827247  15.88607499]",052096~2.cas
60,2,[58.78651365 36.86068987],0522213.cas
61,1,[17.63448967],0524403.cas
62,0,[],0524404.cas
63,0,[],0524405.cas
64,1,[14.71424656],0524406.cas
65,3,[14.56893917 16.66006493 16.80612083],0524407.cas
66,0,[],0524408.cas
67,5,[17.53335002 18.57397401 18.70901148 15.76413064 17.84416855],0524415.cas
68,0,[],0524416.cas
69,0,[],0526207.cas
70,8,"[419.54069009 543.57345543 766.58528095 557.65627159 499.67459208
 501.71767093 475.85232755 258.97440266]",0526208.cas
71,0,[],0526210.cas
72,0,[],0526401.cas
73,0,[],0526402.cas
74,0,[],0603411.cas
75,0,[],0608413.cas
76,0,[],0608414.cas
77,7,"[ 19.56412533 233.81564024 234.82066393 204.80037273 188.80806741
 203.83381998 201.84011367]",0610201.cas
78,0,[],0617212.cas
79,2,[257.94814945 263.01817769],0617214.cas
80,76,"[13.5040807  17.5021013  15.50511524 17.51685531 15.51318323 15.51893659
 16.52418193 19.52759857 20.537376   19.54688618 19.55858377 22.56195685
 14.57248814 21.56493235 18.58570997 18.59014935 19.5891021  20.5935552
 21.59371705 22.6008895  15.63230535 20.6423014  21.64665104 12.66462455
 16.66363418 15.66208087 13.68830322 15.68146831 21.68256024 14.69624109
 16.69574262 17.70424997 21.69825868 18.70535613 12.71295242 15.70556667
 13.71765834 19.70746035 21.71192051 12.72405849 13.72837108 18.72764887
 17.73291938 12.74023643 18.73662018 16.73950744 15.73949889 13.76806446
 21.75891692 17.76792538 13.77561819 18.78164184 16.78798252 18.79675615
 15.79438245 16.80090154 13.80746881 22.8045136  19.80773963 14.81601659
 13.82324533 20.82296746 14.83169831 22.82599636 18.84215987 20.83857983
 22.84215834 19.84998496 19.85495466 12.86731016 14.86968493 19.86298281
 12.87788475 18.87423903 13.87918398 19.88740347]",061NEG1.cas
81,0,[],061POS1.cas
82,0,[],0706401.cas
83,2,[310.86143322 390.88919609],0706402.cas
84,9,"[250.83483405 214.77976719 324.78729307 217.78962006 215.7913775
 107.74117361 216.85633805 218.86595914 322.87170053]",0802103.cas
85,5,[320.71934848 322.72979097 176.77167265 178.81172749 108.78789454],0802104.cas
86,0,[],0815401.cas
87,3,[18.60500275 17.67461948 18.73119424],0815403.cas
88,24,"[300.51077928 256.60972221 324.54242947 322.54902488 320.55443219
 318.57004315 258.71921716 221.66075615 219.67602259 224.67820274
 218.70513229 223.70940293 220.71452262 222.73997123 186.7337271
 180.74337907 176.74524984 160.7397861  178.79312957 158.77852625
 184.83383053 132.78854968 140.79829437 113.79713854]",0819101.cas
89,51,"[428.50081217 426.50563388 490.53772684 352.56567778 366.56809356
 430.57289775 492.57550155 334.59186617 313.62681686 348.62840412
 330.64303723 488.64445901 346.64623058 249.66899833 287.69339084
 332.70637535 364.70698399 350.70802813 285.71128734 288.71281272
 251.79864489 250.80980473 284.74406548 236.79268204 290.74690585
 314.74904889 278.74960533 262.87192106 282.75924782 298.76398446
 232.8078758  246.83873262 286.77335224 312.77695915 328.78279106
 234.82738774 310.78581464 326.79102616 224.79416868 276.81737077
 226.85541732 248.83000194 222.85128331 252.8323955  264.8369166
 206.82126858 204.82924073 205.84328314 247.8700853  208.8517047
 212.89206389]",0819102.cas
90,1,[283.87839342],0823305.cas
91,0,[],0823306.cas
92,1,[457.55615295],0823307.cas
93,0,[],0823308.cas
94,0,[],0823309.cas
95,1,[14.6246301],0823310.cas
96,1,[240.52075753],0823311.cas
97,0,[],0823312.cas
98,0,[],0825305.cas
99,0,[],0825306.cas
100,1,[282.86328787],0825307.cas
101,0,[],0825308.cas
102,7,"[ 17.52515264  16.62017438 174.63388548 173.63923893  16.70461898
  13.76107304  13.89168132]",0901407.cas
103,3,[178.50003433  82.61777208 183.84577972],0901408.cas
104,17,"[995.51010065 475.54288883 566.60168248 582.60425403  39.58248303
 479.63516725  42.61610416  41.62817895 220.67780605 964.71261908
 252.7161595  147.69832998 292.7983223  101.7027039  259.92050883
 100.73117654 436.8386908 ]",090293~1.cas
105,14,"[ 517.50734726  470.55514268  813.57178527  185.53495326  346.5962951
  206.59931084  581.65499343  439.67792904 1308.68478823  232.76175344
  815.78051355  977.81147243  250.89531701  235.9393447 ]",090293~2.cas
106,24,"[569.50366111 556.51228626 653.59443037 341.60503323 667.64352828
 718.69501967 717.69642128 145.61666587 703.72478934 733.72935676
 191.71953862 773.76670116 758.77326508 173.71413493 757.78080884
 743.78521129 563.78619618 662.83624598 211.83946922 706.84099224
 788.8438032  787.84478734 432.86141944 444.87153022]",090293~3.cas
107,22,"[ 759.53774019  717.53782288  734.54325059  519.54454281  774.54622309
  731.55014142  773.55408662  704.56522101  575.58893376  757.59023128
   39.56950272  664.64076738   41.61650799  561.70248442  951.71412183
  880.74750434 1166.78625875 1375.80219663  823.80633297 1342.86984633
  608.87921749 1005.88386523]",090293~4.cas
108,0,[],0909401.cas
109,0,[],0909402.cas
110,0,[],0909405.cas
111,0,[],0909406.cas
112,7,"[144.53777191 178.61741742 217.67673008  88.60024012 143.66726061
 122.66800586 157.77372302]",0910204.cas
113,1,[15.56564614],0915401.cas
114,0,[],0921401.cas
115,1,[18.54171611],0921402.cas
116,0,[],0922201.cas
117,17,"[526.51083663 362.51657723 368.58361786 850.68583801 205.71675791
 346.81643524 286.8305467  334.83533161 217.83992712 282.8414573
 218.85183766 258.9577908  364.86523088 276.86707988 260.9821385
 230.90980193 270.88363909]",0922204.cas
118,4,[268.80682788 207.79183621 250.90982555 244.86214927],0922206.cas
119,3,[223.77399548 217.81860351 284.82804852],0923205.cas
120,1,[70.68632785],1001205.cas
121,216,"[ 997.50152158  976.50187387  988.50276845 1032.50423812 1089.50428987
 1002.50626018  953.50634221  995.50818643 1033.5095241   906.50970728
  904.51141658 1018.51161161 1001.51230079  967.51315824 1028.5139957
  921.51404067 1263.51516302  991.51577358  935.51594392  951.51606573
 1000.51630304  905.51780414 1060.51808928 1038.51893395 1005.51896602
 1011.51942142 1103.51956201 1015.52017469 1108.52194992 1047.52203751
 1043.52271465 1027.5227358   963.52292686 1057.5235767  1037.52399709
  977.52532918 1023.52574508  965.52576885  979.52636797 1091.52657306
  961.52662557 1013.52736782 1024.52915529 1087.52933526 1046.52941984
 1076.53006692 1065.53020661 1035.53038793 1074.53081787 1221.53140852
 1073.53186834 1008.53435521 1075.53458752  952.53566716 1044.53732585
 1071.53931143 1059.53957324 1045.54066515 1069.54092348 1007.54094194
 1117.54254401  993.54270802 1137.54334827 1039.5473347  1107.54829711
 1178.5490824  1133.5493678  1025.54956339 1048.54968143 1083.5504099
   43.50605044 1104.55158131 1131.55227644 1118.55318779 1095.55385843
 1077.55469062 1135.55581898 1119.55705032 1225.558041   1147.55900641
 1151.56010829 1324.56032878 1161.56060041 1041.56066281 1115.56105311
 1261.56154442 1099.56195132 1177.56311699 1085.56319046 1105.56365034
   47.51190099 1021.56706309 1187.5680034  1192.5683214  1207.56887002
 1149.57001325 1081.57004421 1189.57107289 1019.57292408 1067.57327712
 1049.57571877 1121.57663622 1055.57667794   45.53090923 1217.57846889
 1293.57859547 1233.57923644   42.53823283 1214.58185644 1181.58206034
   55.52007077 1123.58545343 1053.58697418   46.53880037 1106.58725956
 1148.58985709 1051.59024486 1134.59030149 1231.5903575  1009.59097001
 1129.59116555 1079.59148878 1109.59562485 1185.59573353 1175.59884591
 1101.60104684 1281.60211423 1145.6022065  1173.60405922 1111.6045469
 1260.60556304 1243.60556826 1165.60659054 1269.60822168 1235.61007591
 1271.61070364 1164.61122059 1236.61134557 1193.61157629 1191.61225081
 1201.61451079 1159.61502422 1237.61567516 1157.61588608 1125.61633553
 1163.62008416 1215.62075584 1143.62140535 1141.62151806 1205.62181533
 1421.62190429 1229.62228504 1211.62279951 1097.62595965 1155.62616176
 1093.6266355  1113.63057346   39.59383915 1127.63548849 1203.63567264
 1167.64196723 1323.64200674 1139.64273016 1241.64508731 1345.64795277
 1279.65529133 1247.65631767 1299.65965935 1171.66003143 1253.66084874
 1219.66241707 1227.66393515 1249.67249855 1317.6732657  1245.67367008
 1357.67571569 1179.67773802 1183.67822685 1275.68347882 1491.68412769
 1343.68869256 1267.69223162 1169.69268416 1153.69357951 1405.69588999
 1341.69839839 1301.69900828 1265.69975959 1273.70140522 1333.7023968
 1257.70281621 1303.70342965 1223.70401893 1287.70601745 1259.70828476
 1359.70835503 1213.7095697  1313.71321394 1307.71354161 1461.714236
 1411.71791796 1407.72191624 1305.73013515 1291.73432264 1433.73448734
   95.6400752  1315.74627147 1289.74844203 1367.75215785 1371.76909623
 1435.77384794 1363.78711916 1337.8010058  1375.80690067 1361.81316102
   20.87957206]",10019601.cas
122,7,"[ 888.56603954  702.57630884  117.52549188   62.631551   1045.71721423
   22.79320697   21.83078451]",10019602.cas
123,162,"[  45.52672782  746.59288734  138.50097471  748.59793674 1004.59818882
  764.60910286  800.6097397   718.61419926  815.61438187  792.62102548
  916.62260547 1041.6249842   794.64044012  710.64590402  923.65181335
  740.6518204   804.66522701  481.68238313  497.69038739  480.69132492
  660.69318943  741.6941856   640.70854453  496.71132346  720.71157448
  622.71686277  616.72042654  598.72594741   47.67561066  620.72980364
  109.63463882  702.73227816  872.73427907  482.73773134  658.74701853
  606.7529838   572.7581353   409.762572    614.767226    588.76948666
  868.77137915  706.77687886  810.78240521  612.783386    670.7859352
  604.78808772  354.78837847  638.78997015  568.79592848  634.79632804
  756.79701155  520.79804658  576.8023406   574.80535651   22.79773651
  488.8102213   602.81079419  370.81217497  845.8139746   425.81643632
  356.81885544  491.81999389  446.82155473  381.82230061  684.82342686
  508.82412416  538.8244203   371.82476232  694.82534905  558.8253916
  512.82678903  498.82755263  259.93349657  708.8318332   788.8325867
  580.83502537  626.83670374  399.83675424  678.83691166  258.93830339
  472.83875339  484.83987257  594.84024435  522.84038598  682.84172709
  383.84187018  431.84348921   21.8350031   492.84436814  514.84596544
  540.84614089  742.8470982   666.84810601  486.84816715  680.84837352
  566.84875021  560.8491839   768.85065922  466.85285817  228.85359129
  250.93360632  712.8543165   531.85490554  470.85640112  451.85658491
  550.85828648  534.85963761  464.85982696  562.86040213  478.86051525
  505.86055637  471.86263112  504.86431027  244.86492846  502.8649397
  457.86587338  812.865895    257.9648308   542.86673323  518.86765467
  544.86880433  524.87015005  918.87122587  261.98612814  556.87301256
  608.87305652  592.87366991  636.87367023  468.87414606  359.8746985
  546.87584856  452.87679053  256.97254776  526.87746315  506.87826904
  528.87840018  260.98779789  355.87988895  554.88103147  500.88119791
  430.88181042  251.9649775   570.88232747  426.88449339  384.8869685
  648.88760462  672.88776463  494.89077554  630.89136324  532.89141863
  429.89348108  320.89440095  453.89448847  582.89452129  564.89580148
  476.89583246  347.89619017  234.9419675   516.89834701  263.0166154
  632.89855369  424.89870343]",10019603.cas
124,68,"[1.12550028e+03 1.25950147e+03 1.21950265e+03 1.27350312e+03
 1.34350354e+03 1.20350391e+03 1.19150650e+03 1.21750816e+03
 1.28350930e+03 1.19750933e+03 1.27550968e+03 1.24551499e+03
 1.28551939e+03 1.15951949e+03 1.21351956e+03 1.33351959e+03
 1.12752108e+03 1.23352272e+03 1.23152445e+03 1.26353107e+03
 1.16953139e+03 1.33953988e+03 1.23954580e+03 2.85252034e+01
 1.15554901e+03 1.47754962e+03 1.31755404e+03 1.33155599e+03
 1.25755718e+03 1.17155761e+03 4.75080097e+01 1.34756075e+03
 1.43356144e+03 1.34556280e+03 1.33556402e+03 1.40557753e+03
 1.26157998e+03 4.55328491e+01 4.25406980e+01 1.46358804e+03
 1.37558857e+03 5.55239382e+01 1.45759068e+03 1.35959420e+03
 1.40359879e+03 1.39760446e+03 6.17483900e-01 1.36160999e+03
 1.20516043e+02 3.95768461e+01 1.41963977e+03 1.39164410e+03
 5.36119991e+01 1.43568103e+03 1.30369445e+03 1.35571653e+03
 1.37374335e+03 2.47293752e+01 1.35778772e+03 2.90801527e+02
 2.58918116e+02 2.74821192e+02 2.60950984e+02 2.59950412e+02
 2.61959602e+02 2.34919099e+02 2.08826820e+01 2.33934030e+02]",10019604.cas
125,0,[],1006306.cas
126,0,[],1006307.cas
127,0,[],100_102.cas
